Date,Inf-Adj TR
1931-04-13,0.016335153
1931-04-14,-0.012020467
1931-04-15,-0.019448603
1931-04-16,-0.011821656
1931-04-17,-0.015105273
1931-04-20,0.015161025
1931-04-21,-0.025776507
1931-04-22,-0.020052738
1931-04-23,0.005138495
1931-04-24,0.000539283
1931-04-27,-0.034123896
1931-04-28,-0.005558278
1931-04-29,-0.019910615
1931-04-30,0.050643667
1931-05-01,-0.028285001
1931-05-04,0.02885973
1931-05-05,-0.007094745
1931-05-06,0.005558791
1931-05-07,-0.003123953
1931-05-08,0.033649302
1931-05-11,-0.015318328
1931-05-12,-0.009001536
1931-05-13,-0.002451086
1931-05-14,-0.021141294
1931-05-15,-0.014133439
1931-05-18,-0.040677864
1931-05-19,0.000150839
1931-05-20,-0.004911144
1931-05-21,0.0110552
1931-05-22,0.004473094
1931-05-25,-0.037864064
1931-05-26,0.001619651
1931-05-27,-0.0103123
1931-05-28,0.004644121
1931-05-29,-0.020914747
1931-06-01,-0.046732932
1931-06-02,-0.015242916
1931-06-03,0.076295952
1931-06-04,0.033660506
1931-06-05,-0.010183995
1931-06-08,0.012826414
1931-06-09,-0.015338073
1931-06-10,0.027872623
1931-06-11,0.003075897
1931-06-12,0.00234278
1931-06-15,-0.007841157
1931-06-16,0.003087143
1931-06-17,-0.010094851
1931-06-18,-0.016878503
1931-06-19,-0.002881782
1931-06-22,0.106029837
1931-06-23,-0.012803138
1931-06-24,0.048075568
1931-06-25,-0.005740789
1931-06-26,0.024902126
1931-06-29,-0.016051995
1931-06-30,-0.016343838
1931-07-01,0.016429161
1931-07-02,-0.008380661
1931-07-03,0.021664759
1931-07-06,-0.010239179
1931-07-07,-0.038827099
1931-07-08,-0.009402769
1931-07-09,0.00859648
1931-07-10,0.009907585
1931-07-13,-0.027095331
1931-07-14,-0.00959262
1931-07-15,-0.020336224
1931-07-16,0.02488343
1931-07-17,0.009439526
1931-07-20,0.013560395
1931-07-21,0.011310756
1931-07-22,-0.023010065
1931-07-23,0.000245749
1931-07-24,-0.021462934
1931-07-27,0.004540667
1931-07-28,0.010937125
1931-07-29,-0.03078387
1931-07-30,0.004612561
1931-07-31,-0.004826715
1931-08-03,0.014816156
1931-08-04,-0.006211362
1931-08-05,-0.014201354
1931-08-06,-0.006348727
1931-08-07,0.004677558
1931-08-10,-0.00415901
1931-08-11,0.032721838
1931-08-12,-0.013331616
1931-08-13,0.016191542
1931-08-14,0.019507716
1931-08-17,-0.016545448
1931-08-18,0.003808232
1931-08-19,0.003086393
1931-08-20,0.002371154
1931-08-21,-0.021627692
1931-08-24,-0.007686995
1931-08-25,-0.00338685
1931-08-26,0.017037835
1931-08-27,-0.005493487
1931-08-28,0.010357817
1931-08-31,-0.009042838
1931-09-01,0.004934997
1931-09-02,-0.018072168
1931-09-03,-0.022088004
1931-09-04,-0.003888389
1931-09-08,-0.030996716
1931-09-09,-0.007941016
1931-09-10,-0.010365794
1931-09-11,0.006152744
1931-09-14,-0.045887309
1931-09-15,-0.008484916
1931-09-16,-0.013572489
1931-09-17,0.019218514
1931-09-18,-0.047566765
1931-09-21,-0.045641826
1931-09-22,-0.011287877
1931-09-23,0.067272659
1931-09-24,-0.072310674
1931-09-25,0.023077903
1931-09-28,-0.037855546
1931-09-29,-0.041298769
1931-09-30,-0.03418526
1931-10-01,-0.017890268
1931-10-02,0.018485727
1931-10-05,-0.090074328
1931-10-06,0.124230088
1931-10-07,-0.012470741
1931-10-08,0.086536892
1931-10-09,-0.005944015
1931-10-13,-0.042006706
1931-10-14,-0.022124955
1931-10-15,0.018884404
1931-10-16,0.031493093
1931-10-19,0.013195584
1931-10-20,0.045451898
1931-10-21,-0.008476766
1931-10-22,-0.032501849
1931-10-23,0.033028274
1931-10-26,-0.017802863
1931-10-27,-0.020969219
1931-10-28,-0.032013581
1931-10-29,0.004619517
1931-10-30,0.032299152
1931-11-02,0.007675125
1931-11-04,0.031439906
1931-11-05,-0.002733142
1931-11-06,0.031575961
1931-11-09,0.037867406
1931-11-10,-0.019869617
1931-11-11,-0.014107206
1931-11-12,-0.002636644
1931-11-13,-0.030653267
1931-11-16,-0.026088523
1931-11-17,0.017262853
1931-11-18,-0.035828737
1931-11-19,-0.003933444
1931-11-20,-0.029548095
1931-11-23,-0.01426471
1931-11-24,0.018489489
1931-11-25,-0.033484106
1931-11-27,-0.022121279
1931-11-30,0.021371879
1931-12-01,-0.011920191
1931-12-02,-0.034469849
1931-12-03,0.019495918
1931-12-04,-0.020980586
1931-12-07,0.030644869
1931-12-08,-0.028352121
1931-12-09,-0.025896151
1931-12-10,-0.022067655
1931-12-11,-0.030757144
1931-12-14,-0.035389695
1931-12-15,0.014444222
1931-12-16,-0.022687627
1931-12-17,-0.025770327
1931-12-18,0.083612942
1931-12-21,-0.024408229
1931-12-22,0.017889302
1931-12-23,-0.040301881
1931-12-24,0.001969249
1931-12-28,-0.02441424
1931-12-29,0.026484584
1931-12-30,0.018299328
1931-12-31,0.003180524
1932-01-04,-0.067595
1932-01-05,4.77656E-05
1932-01-06,0.071569192
1932-01-07,0.01869725
1932-01-08,0.043949592
1932-01-11,-0.009131233
1932-01-12,-0.009242691
1932-01-13,0.050238217
1932-01-14,0.012734153
1932-01-15,0.003617708
1932-01-18,-0.044593609
1932-01-19,-0.002154747
1932-01-20,0.019059196
1932-01-21,-0.004423226
1932-01-22,-0.041753026
1932-01-25,0.00015249
1932-01-26,0.014785151
1932-01-27,-0.017883394
1932-01-28,-0.013353409
1932-01-29,-0.009837453
1932-02-01,0.037566142
1932-02-02,-0.02082899
1932-02-03,0.006011157
1932-02-04,-0.005138257
1932-02-05,-0.031296096
1932-02-08,-0.01952334
1932-02-09,-0.010768811
1932-02-10,-0.002941851
1932-02-11,0.083708879
1932-02-15,0.047840242
1932-02-16,0.041042213
1932-02-17,-0.039681769
